 Óbitos por Causas Externas - Brasil
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Período:2020
"Município";"Óbitos_p/Ocorrênc"
"420370 Canelinha";3
"420380 Canoinhas";5
"420400 Catanduvas";1
"420410 Caxambu do Sul";1
"420420 Chapecó";31
"420425 Cocal do Sul";2
"420430 Concórdia";4
"420440 Coronel Freitas";1
"420455 Correia Pinto";1
"420460 Criciúma";12
"420480 Curitibanos";4
"420530 Faxinal dos Guedes";1
"420540 Florianópolis";77
"420545 Forquilhinha";2
"420550 Fraiburgo";3
"420570 Garopaba";2
"420580 Garuva";2
"420590 Gaspar";5
"420600 Governador Celso Ramos";1
"420690 Ibirama";2
"420700 Içara";1
"420720 Imaruí";3
"420730 Imbituba";4
"420740 Imbuia";2
"420750 Indaial";3
"420760 Ipira";1
"420768 Ipuaçu";4
"420780 Irani";1
"420790 Irineópolis";1
"420810 Itaiópolis";1
"420820 Itajaí";32
"420830 Itapema";20
"420840 Itapiranga";1
"420845 Itapoá";8
"420850 Ituporanga";3
"420880 Jaguaruna";4
"420890 Jaraguá do Sul";4
"420900 Joaçaba";2
"420910 Joinville";74
"420930 Lages";13
"420940 Laguna";3
"420960 Lauro Muller";1
"420970 Lebon Régis";6
"421000 Luiz Alves";1
"421003 Luzerna";1
"421010 Mafra";13
"421040 Maracajá";1
"421060 Massaranduba";2
"421100 Mondaí";2
"421130 Navegantes";18
"421145 Nova Itaberaba";1
"421170 Orleans";1
"421175 Otacílio Costa";1
"421187 Paial";1
"421190 Palhoça";12
"421210 Palmitos";1
"421220 Papanduva";2
"421223 Paraíso";1
"421225 Passo de Torres";2
"421250 Penha";3
"421260 Peritiba";1
"421290 Pinhalzinho";1
"421320 Pomerode";1
"421330 Ponte Alta";2
"421350 Porto Belo";2
"421360 Porto União";1
"421380 Praia Grande";1
"421430 Rancho Queimado";1
"421480 Rio do Sul";9
"421470 Rio dos Cedros";2
"421500 Rio Negrinho";3
"421505 Rio Rufino";1
"421510 Rodeio";1
"421550 Santa Cecília";5
"421567 Santa Terezinha";2
"421570 Santo Amaro da Imperatriz";3
"421580 São Bento do Sul";3
"421590 São Bonifácio";1
"421605 São Cristovão do Sul";1
"421620 São Francisco do Sul";13
"421630 São João Batista";5
"421635 São João do Itaperiú";2
"421650 São Joaquim";5
"421660 São José";25
"421680 São José do Cerrito";2
"421720 São Miguel do Oeste";2
"421725 São Pedro de Alcântara";1
"421730 Saudades";1
"421760 Siderópolis";1
"421770 Sombrio";4
"421800 Tijucas";12
"421820 Timbó";1
"421825 Timbó Grande";3
"421830 Três Barras";5
"421835 Treviso";1
"421870 Tubarão";3
"421880 Turvo";1
"421890 Urubici";1
"421900 Urussanga";1
"421920 Vidal Ramos";1
"421930 Videira";6
"421950 Xanxerê";17
"421970 Xaxim";3
"430003 Aceguá";1
"430010 Agudo";2
"430030 Alecrim";1
"430040 Alegrete";12
"430050 Alpestre";1
"430060 Alvorada";108
"430063 Amaral Ferrador";7
"430064 Ametista do Sul";1
"430080 Antônio Prado";3
"430087 Araricá";2
"430100 Arroio do Meio";2
"430105 Arroio do Sal";4
"430120 Arroio do Tigre";5
"430110 Arroio dos Ratos";1
"430130 Arroio Grande";2
"430140 Arvorezinha";1
"430160 Bagé";13
"430163 Balneário Pinhal";3
"430170 Barão de Cotegipe";1
"430175 Barão do Triunfo";1
"430185 Barra do Guarita";1
"430190 Barra do Ribeiro";11
"430200 Barros Cassal";4
"430210 Bento Gonçalves";25
"430230 Bom Jesus";5
"430237 Bom Progresso";1
"430240 Bom Retiro do Sul";1
"430250 Bossoroca";2
"430265 Brochier";1
"430270 Butiá";10
"430280 Caçapava do Sul";3
"430300 Cachoeira do Sul";9
"430310 Cachoeirinha";17
"430320 Cacique Doble";1
"430350 Camaquã";11
"430370 Campina das Missões";1
"430390 Campo Bom";5
"430410 Campos Borges";2
"430420 Candelária";6
"430435 Candiota";1
"430440 Canela";9
"430450 Canguçu";6
"430460 Canoas";57
"430463 Capão da Canoa";5
"430466 Capão do Leão";4
"430468 Capela de Santana";5
"430470 Carazinho";19
"430480 Carlos Barbosa";1
"430490 Casca";2
"430500 Catuípe";1
"430510 Caxias do Sul";109
"430517 Cerro Grande do Sul";1
"430520 Cerro Largo";1
"430535 Charqueadas";2
"430545 Cidreira";7
"430550 Ciríaco";1
"430570 Condor";1
"430580 Constantina";3
"430587 Coronel Barros";1
"430590 Coronel Bicaco";2
"430600 Crissiumal";1
"430605 Cristal";1
"430610 Cruz Alta";24
"430620 Cruzeiro do Sul";3
"430640 Dois Irmãos";1
"430650 Dom Feliciano";4
"430660 Dom Pedrito";9
"430655 Dom Pedro de Alcântara";1
"430675 Doutor Ricardo";1
"430676 Eldorado do Sul";4
"430680 Encantado";6
"430690 Encruzilhada do Sul";6
"430693 Entre-Ijuís";1
"430697 Erebango";1
"430700 Erechim";21
"430720 Erval Grande";2
"430750 Espumoso";1
"430760 Estância Velha";4
"430770 Esteio";15
"430780 Estrela";12
"430790 Farroupilha";27
"430810 Feliz";1
"430820 Flores da Cunha";7
"430830 Fontoura Xavier";6
"430850 Frederico Westphalen";7
"430860 Garibaldi";9
"430885 Gentil";1
"430890 Getúlio Vargas";1
"430900 Giruá";1
"430910 Gramado";6
"430912 Gramado dos Loureiros";1
"430920 Gravataí";54
"430930 Guaíba";16
"430940 Guaporé";4
"430950 Guarani das Missões";1
"430955 Harmonia";1
"430960 Horizontina";1
"430965 Hulha Negra";1
"430970 Humaitá";1
"430990 Ibiraiaras";3
"431000 Ibirubá";3
"431020 Ijuí";23
"431033 Imbé";11
"431043 Ipê";1
"431050 Iraí";5
"431055 Itacurubi";2
"431057 Itapuca";1
"431060 Itaqui";5
"431080 Ivoti";1
"431085 Jaboticaba";1
"431100 Jaguarão";6
"431110 Jaguari";1
"431112 Jaquirana";1
"431120 Júlio de Castilhos";2
"431123 Lagoa Bonita do Sul";1
"431130 Lagoa Vermelha";8
"431125 Lagoão";3
"431140 Lajeado";20
"431150 Lavras do Sul";1
"431170 Machadinho";1
"431173 Mampituba";1
"431179 Maratá";2
"431180 Marau";5
"431198 Mariana Pimentel";2
"431225 Minas do Leão";2
"431240 Montenegro";8
"431244 Morrinhos do Sul";1
"431250 Mostardas";4
"431260 Muçum";1
"431270 Nonoai";7
"431275 Nova Alvorada";2
"431290 Nova Bassano";1
"431306 Nova Hartz";1
"431320 Nova Petrópolis";2
"431330 Nova Prata";3
"431337 Nova Santa Rita";6
"431340 Novo Hamburgo";30
"431342 Novo Machado";1
"431350 Osório";11
"431360 Paim Filho";1
"431365 Palmares do Sul";3
"431370 Palmeira das Missões";6
"431380 Palmitinho";1
"431390 Panambi";3
"431400 Paraí";8
"431405 Parobé";6
"431410 Passo Fundo";53
"431413 Paulo Bento";1
"431440 Pelotas";39
"431449 Pinheirinho do Vale";1
"431460 Piratini";5
"431470 Planalto";5
"431480 Portão";4
"431490 Porto Alegre";326
"431500 Porto Lucena";1
"431515 Progresso";1
"431530 Quaraí";5
"431550 Restinga Seca";3
"431560 Rio Grande";54
"431570 Rio Pardo";14
"431580 Roca Sales";2
"431590 Rodeio Bonito";5
"431600 Rolante";2
"431630 Roque Gonzales";1
"431640 Rosário do Sul";5
"431642 Sagrada Família";2
"431645 Salto do Jacuí";2
"431660 Sananduva";1
"431710 Sant'Ana do Livramento";18
"431680 Santa Cruz do Sul";32
"431690 Santa Maria";54
"431720 Santa Rosa";10
"431730 Santa Vitória do Palmar";1
"431700 Santana da Boa Vista";2
"431740 Santiago";2
"431750 Santo Ângelo";11
"431760 Santo Antônio da Patrulha";7
"431770 Santo Antônio das Missões";1
"431780 Santo Augusto";1
"431800 São Borja";8
"431820 São Francisco de Paula";2
"431830 São Gabriel";6
"431840 São Jerônimo";2
"431843 São João do Polêsine";1
"431850 São José do Norte";6
"431860 São José do Ouro";1
"431862 São José dos Ausentes";1
"431870 São Leopoldo";53
"431880 São Lourenço do Sul";1
"431890 São Luiz Gonzaga";8
"431900 São Marcos";5
"431915 São Miguel das Missões";1
"431937 São Pedro do Butiá";1
"431940 São Pedro do Sul";2
"431950 São Sebastião do Caí";4
"431960 São Sepé";2
"431971 São Valentim do Sul";1
"431990 Sapiranga";15
"432000 Sapucaia do Sul";27
"432010 Sarandi";2
"432020 Seberi";1
"432026 Segredo";1
"432040 Serafina Corrêa";1
"432055 Sertão Santana";1
"432067 Sinimbu";2
"432070 Sobradinho";4
"432080 Soledade";8
"432090 Tapejara";3
"432110 Tapes";6
"432120 Taquara";6
"432130 Taquari";2
"432132 Taquaruçu do Sul";1
"432135 Tavares";5
"432140 Tenente Portela";5
"432143 Terra de Areia";1
"432145 Teutônia";1
"432147 Tiradentes do Sul";1
"432150 Torres";7
"432160 Tramandaí";12
"432170 Três Coroas";2
"432180 Três de Maio";3
"432183 Três Forquilhas";3
"432185 Três Palmeiras";1
"432190 Três Passos";6
"432195 Trindade do Sul";2
"432200 Triunfo";7
"432220 Tupanciretã";1
"432240 Uruguaiana";20
"432250 Vacaria";16
"432253 Vale do Sol";2
"432252 Vale Verde";1
"432260 Venâncio Aires";9
"432270 Vera Cruz";1
"432280 Veranópolis";6
"432300 Viamão";98
"432375 Vitória das Missões";1
"432380 Xangri-lá";4
"500020 Água Clara";1
"500060 Amambai";6
"500085 Angélica";2
"500090 Antônio João";7
"500100 Aparecida do Taboado";7
"500110 Aquidauana";7
"500124 Aral Moreira";1
"500150 Bandeirantes";1
"500190 Bataguassu";3
"500210 Bela Vista";3
"500215 Bodoquena";3
"500220 Bonito";1
"500230 Brasilândia";3
"500240 Caarapó";5
"500260 Camapuã";2
"500270 Campo Grande";171
"500290 Cassilândia";1
"500295 Chapadão do Sul";4
"500310 Corguinho";1
"500315 Coronel Sapucaia";14
"500320 Corumbá";22
"500325 Costa Rica";4
"500330 Coxim";7
"500345 Deodápolis";3
"500348 Dois Irmãos do Buriti";2
"500370 Dourados";58
"500375 Eldorado";1
"500380 Fátima do Sul";1
"500390 Figueirão";1
"500400 Glória de Dourados";1
"500430 Iguatemi";4
"500440 Inocência";3
"500450 Itaporã";1
"500460 Itaquiraí";6
"500470 Ivinhema";3
"500480 Japorã";1
"500500 Jardim";5
"500515 Juti";3
"500520 Ladário";1
"500540 Maracaju";9
"500560 Miranda";1
"500568 Mundo Novo";5
"500570 Naviraí";5
"500580 Nioaque";1
"500600 Nova Alvorada do Sul";3
"500620 Nova Andradina";3
"500625 Novo Horizonte do Sul";1
"500630 Paranaíba";6
"500635 Paranhos";3
"500660 Ponta Porã";41
"500690 Porto Murtinho";3
"500710 Ribas do Rio Pardo";1
"500720 Rio Brilhante";3
"500740 Rio Verde de Mato Grosso";1
"500769 São Gabriel do Oeste";3
"500780 Selvíria";1
"500770 Sete Quedas";1
"500790 Sidrolândia";10
"500793 Sonora";3
"500795 Tacuru";5
"500800 Terenos";1
"500830 Três Lagoas";18
"510020 Água Boa";2
"510025 Alta Floresta";10
"510030 Alto Araguaia";2
"510040 Alto Garças";1
"510050 Alto Paraguai";12
"510060 Alto Taquari";1
"510125 Araputanga";6
"510130 Arenápolis";11
"510140 Aripuanã";30
"510160 Barão de Melgaço";1
"510170 Barra do Bugres";6
"510180 Barra do Garças";12
"510185 Bom Jesus do Araguaia";4
"510190 Brasnorte";10
"510250 Cáceres";29
"510260 Campinápolis";1
"510263 Campo Novo do Parecis";8
"510267 Campo Verde";5
"510268 Campos de Júlio";2
"510269 Canabrava do Norte";3
"510270 Canarana";5
"510279 Carlinda";4
"510285 Castanheira";2
"510300 Chapada dos Guimarães";4
"510305 Cláudia";3
"510310 Cocalinho";4
"510320 Colíder";14
"510325 Colniza";27
"510330 Comodoro";9
"510335 Confresa";10
"510337 Cotriguaçu";3
"510340 Cuiabá";133
"510345 Denise";1
"510350 Diamantino";14
"510360 Dom Aquino";2
"510370 Feliz Natal";2
"510385 Gaúcha do Norte";1
"510395 Glória D'Oeste";1
"510410 Guarantã do Norte";10
"510420 Guiratinga";2
"510450 Indiavaí";1
"510452 Ipiranga do Norte";1
"510454 Itanhangá";2
"510460 Itiquira";2
"510480 Jaciara";12
"510490 Jangada";1
"510510 Juara";9
"510515 Juína";15
"510517 Juruena";3
"510520 Juscimeira";2
"510525 Lucas do Rio Verde";22
"510560 Matupá";4
"510562 Mirassol d'Oeste";8
"510590 Nobres";10
"510600 Nortelândia";1
"510610 Nossa Senhora do Livramento";1
"510615 Nova Bandeirantes";7
"510620 Nova Brasilândia";2
"510621 Nova Canaã do Norte";5
"510880 Nova Guarita";2
"510618 Nova Lacerda";2
"510885 Nova Marilândia";1
"510890 Nova Maringá";6
"510895 Nova Monte Verde";3
"510622 Nova Mutum";17
"510623 Nova Olímpia";3
"510624 Nova Ubiratã";4
"510625 Nova Xavantina";7
"510627 Novo Horizonte do Norte";1
"510626 Novo Mundo";2
"510630 Paranatinga";9
"510637 Pedra Preta";4
"510642 Peixoto de Azevedo";31
"510645 Planalto da Serra";1
"510650 Poconé";8
"510665 Pontal do Araguaia";1
"510675 Pontes e Lacerda";24
"510677 Porto Alegre do Norte";4
"510680 Porto dos Gaúchos";1
"510682 Porto Esperidião";4
"510685 Porto Estrela";2
"510704 Primavera do Leste";28
"510706 Querência";11
"510715 Reserva do Cabaçal";2
"510718 Ribeirão Cascalheira";4
"510760 Rondonópolis";65
"510770 Rosário Oeste";4
"510774 Santa Cruz do Xingu";2
"510777 Santa Terezinha";3
"510726 Santo Afonso";3
"510780 Santo Antônio do Leverger";2
"510785 São Félix do Araguaia";2
"510730 São José do Rio Claro";15
"510735 São José do Xingu";3
"510710 São José dos Quatro Marcos";2
"510740 São Pedro da Cipa";2
"510787 Sapezal";5
"510788 Serra Nova Dourada";1
"510790 Sinop";45
"510792 Sorriso";43
"510794 Tabaporã";3
"510795 Tangará da Serra";15
"510800 Tapurah";4
"510805 Terra Nova do Norte";2
"510820 Torixoréu";1
"510830 União do Sul";5
"510840 Várzea Grande";63
"510850 Vera";2
"510550 Vila Bela da Santíssima Trindade";7
"510860 Vila Rica";9
"520005 Abadia de Goiás";10
"520010 Abadiânia";5
"520013 Acreúna";4
"520015 Adelândia";1
"520017 Água Fria de Goiás";2
"520025 Águas Lindas de Goiás";58
"520030 Alexânia";7
"520055 Alto Horizonte";3
"520060 Alto Paraíso de Goiás";3
"520080 Alvorada do Norte";1
"520082 Amaralina";1
"520085 Americano do Brasil";2
"520090 Amorinópolis";2
"520110 Anápolis";99
"520130 Anicuns";4
"520140 Aparecida de Goiânia";230
"520160 Araçu";1
"520170 Aragarças";4
"520180 Aragoiânia";4
"520215 Araguapaz";3
"520235 Arenópolis";4
"520250 Aruanã";5
"520280 Avelinópolis";2
"520310 Baliza";3
"520330 Bela Vista de Goiás";7
"520340 Bom Jardim de Goiás";1
"520350 Bom Jesus de Goiás";15
"520355 Bonfinópolis";3
"520357 Bonópolis";1
"520360 Brazabrantes";2
"520380 Britânia";3
"520390 Buriti Alegre";6
"520393 Buriti de Goiás";1
"520400 Cabeceiras";5
"520420 Cachoeira de Goiás";2
"520425 Cachoeira Dourada";1
"520430 Caçu";2
"520440 Caiapônia";6
"520450 Caldas Novas";45
"520455 Caldazinha";1
"520465 Campinaçu";1
"520470 Campinorte";3
"520480 Campo Alegre de Goiás";3
"520485 Campo Limpo de Goiás";3
"520490 Campos Belos";4
"520495 Campos Verdes";2
"520500 Carmo do Rio Verde";6
"520510 Catalão";27
"520540 Ceres";3
"520545 Cezarina";3
"520547 Chapadão do Céu";3
"520549 Cidade Ocidental";43
"520551 Cocalzinho de Goiás";13
"520552 Colinas do Sul";2
"520580 Corumbá de Goiás";2
"520590 Corumbaíba";4
"520620 Cristalina";34
"520630 Cristianópolis";3
"520640 Crixás";13
"520660 Cumari";1
"520710 Diorama";1
"520725 Doverlândia";3
"520735 Edealina";1
"520740 Edéia";1
"520753 Faina";1
"520780 Firminópolis";2
"520790 Flores de Goiás";5
"520800 Formosa";35
"520815 Gameleira de Goiás";1
"520840 Goianápolis";6
"520860 Goianésia";14
"520870 Goiânia";448
"520880 Goianira";22
"520890 Goiás";4
"520910 Goiatuba";7
"520915 Gouvelândia";2
"520920 Guapó";4
"520940 Guarani de Goiás";1
"520960 Heitoraí";3
"520970 Hidrolândia";18
"520990 Iaciara";2
"520993 Inaciolândia";3
"520995 Indiara";3
"521000 Inhumas";17
"521010 Ipameri";7
"521020 Iporá";6
"521040 Itaberaí";6
"521056 Itaguari";1
"521060 Itaguaru";1
"521090 Itapaci";10
"521100 Itapirapuã";4
"521120 Itapuranga";6
"521130 Itarumã";3
"521150 Itumbiara";35
"521170 Jandaia";1
"521180 Jaraguá";22
"521190 Jataí";23
"521210 Joviânia";2
"521220 Jussara";3
"521230 Leopoldo de Bulhões";2
"521250 Luziânia";85
"521260 Mairipotaba";1
"521270 Mambaí";3
"521280 Mara Rosa";4
"521290 Marzagão";2
"521300 Maurilândia";4
"521308 Minaçu";3
"521310 Mineiros";19
"521370 Montes Claros de Goiás";1
"521375 Montividiu";3
"521380 Morrinhos";9
"521400 Mozarlândia";7
"521440 Nazário";4
"521450 Nerópolis";13
"521460 Niquelândia";17
"521483 Nova Crixás";6
"521486 Nova Glória";2
"521490 Nova Roma";2
"521500 Nova Veneza";2
"521520 Novo Brasil";1
"521523 Novo Gama";32
"521525 Novo Planalto";2
"521530 Orizona";1
"521540 Ouro Verde de Goiás";1
"521560 Padre Bernardo";6
"521570 Palmeiras de Goiás";10
"521590 Palminópolis";1
"521600 Panamá";2
"521630 Paranaiguara";4
"521640 Paraúna";3
"521645 Perolândia";1
"521680 Petrolina de Goiás";1
"521690 Pilar de Goiás";1
"521710 Piracanjuba";18
"521730 Pirenópolis";11
"521740 Pires do Rio";5
"521760 Planaltina";39
"521770 Pontalina";7
"521800 Porangatu";10
"521805 Porteirão";1
"521810 Portelândia";6
"521830 Posse";8
"521839 Professor Jamil";2
"521850 Quirinópolis";11
"521860 Rialma";4
"521870 Rianápolis";1
"521880 Rio Verde";43
"521910 Santa Bárbara de Goiás";4
"521925 Santa Fé de Goiás";2
"521930 Santa Helena de Goiás";16
"521940 Santa Rita do Araguaia";2
"521960 Santa Tereza de Goiás";1
"521970 Santa Terezinha de Goiás";2
"521975 Santo Antônio do Descoberto";27
"521990 São Francisco de Goiás";2
"522000 São João d'Aliança";4
"522005 São João da Paraúna";1
"522010 São Luís de Montes Belos";14
"522015 São Luíz do Norte";1
"522020 São Miguel do Araguaia";8
"522026 São Miguel do Passa Quatro";6
"522028 São Patrício";1
"522040 São Simão";2
"522045 Senador Canedo";56
"522050 Serranópolis";2
"522060 Silvânia";7
"522068 Simolândia";2
"522100 Taquaral de Goiás";1
"522119 Terezópolis de Goiás";5
"522140 Trindade";66
"522150 Turvânia";1
"522155 Turvelândia";2
"522160 Uruaçu";24
"522170 Uruana";7
"522185 Valparaíso de Goiás";52
"522190 Varjão";1
"522200 Vianópolis";4
"522220 Vila Boa";3
"530010 Brasília";455
"Total";49868
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIMbr
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
